model,size,variant,n_seeds,pearson_r_mean,pearson_r_std,rel_diff_pct_mean,rel_diff_pct_std,scale_ratio_mean,scale_ratio_std,seg_ari_mean,seg_ari_std,ari_ground_a_mean,ari_ground_a_std,ari_ground_b_mean,ari_ground_b_std,pearson_r,rel_diff_pct,scale_ratio,seg_ari
SOM_5x5_RECT_planar,5x5,RECT_planar,5,0.9855186653139913,0.0,17.260666319750893,0.0,1.1726066631975092,0.0,0.5388850264698688,0.06962012274953368,0.25552813043274464,0.0,0.22769391725349214,0.012885016307426908,0.9855186653139913,17.260666319750893,1.1726066631975092,0.5388850264698688
SOM_5x5_RECT_toroid,5x5,RECT_toroid,5,0.9892887050471872,1.2412670766236366e-16,20.073420444561876,0.0,1.2007342044456186,0.0,0.4166666666666667,0.0,0.24171500632761345,0.0,0.17793795459239695,0.0,0.9892887050471872,20.073420444561876,1.2007342044456186,0.4166666666666667
SOM_7x7_RECT_planar,7x7,RECT_planar,5,0.9973104478378693,0.0,18.02998483132582,0.0,1.180299848313258,0.0,0.9632421233121382,1.2412670766236366e-16,0.2593082894237044,0.0,0.25584418249052654,0.0,0.9973104478378693,18.02998483132582,1.180299848313258,0.9632421233121382
SOM_7x7_RECT_toroid,7x7,RECT_toroid,5,0.9983382799610979,1.2412670766236366e-16,20.263964694346015,0.0,1.20263964694346,0.0,0.8868098403743112,0.035805447711803745,0.20095300868875735,3.1031676915590914e-17,0.19318773479184143,0.0003298165450085591,0.9983382799610979,20.263964694346015,1.20263964694346,0.8868098403743112
SOM_10x10_RECT_planar,10x10,RECT_planar,5,0.9975156129125035,0.0,18.9059789432762,0.0,1.189059789432762,0.0,0.5767138148301398,0.02627425007058521,0.17928055390801342,0.005023334368667264,0.199588014526186,0.005457205594035691,0.9975156129125035,18.9059789432762,1.189059789432762,0.5767138148301398
SOM_10x10_RECT_toroid,10x10,RECT_toroid,5,0.9991894704134019,0.0,20.41676397193056,0.0,1.204167639719306,0.0,0.8321440313636005,0.055943848819484734,0.14353018803211243,0.0014421932871612057,0.14323555793266468,0.0,0.9991894704134019,20.41676397193056,1.204167639719306,0.8321440313636005
SOM_12x12_RECT_planar,12x12,RECT_planar,5,0.9978441776839224,0.0,19.3860644646564,0.0,1.1938606446465638,0.0,0.8893084940467595,0.006398364411398062,0.14450091727635198,0.0,0.1588432142348007,0.0077811039889166015,0.9978441776839224,19.3860644646564,1.1938606446465638,0.8893084940467595
SOM_12x12_RECT_toroid,12x12,RECT_toroid,5,0.9993954959162688,0.0,20.333649454549622,0.0,1.2033364945454963,0.0,0.9452033097915031,0.00887437374324789,0.13664249903352277,0.0,0.14171669908789086,0.0003343673591484887,0.9993954959162688,20.333649454549622,1.2033364945454963,0.9452033097915031
SOM_15x15_RECT_planar,15x15,RECT_planar,5,0.9983598258382604,0.0,19.715869648321195,0.0,1.197158696483212,0.0,0.8732944764288619,0.019550182201561673,0.13383746465006505,0.00611857183635438,0.14223585664787847,0.005739175731253484,0.9983598258382604,19.715869648321195,1.197158696483212,0.8732944764288619
SOM_15x15_RECT_toroid,15x15,RECT_toroid,5,0.9993490935508682,1.2412670766236366e-16,20.21713516287168,0.0,1.202171351628717,0.0,0.7600734620986993,0.03104088292856086,0.1259743187925884,0.00526808721034542,0.1338418692518868,0.002493342816639736,0.9993490935508682,20.21713516287168,1.202171351628717,0.7600734620986993
SOM_20x20_RECT_planar,20x20,RECT_planar,5,0.9985089281908566,0.0,19.82668531341801,0.0,1.19826685313418,0.0,0.8520547774787399,0.031033072357404306,0.15577939407974398,0.0036217067204496254,0.1753149148443871,0.0,0.9985089281908566,19.82668531341801,1.19826685313418,0.8520547774787399
SOM_20x20_RECT_toroid,20x20,RECT_toroid,5,0.9994526995608881,0.0,20.30061505613849,0.0,1.203006150561385,0.0,0.8870866837497973,0.0,0.11176210355440044,0.0,0.11513441956634107,0.0,0.9994526995608881,20.30061505613849,1.203006150561385,0.8870866837497973
