size,variant,topology,seed,pearson_r,rel_diff_pct,scale_ratio,seg_ari,ari_ground_a,ari_ground_b
5x5,RECT_planar,planar,42,0.9855186653139913,17.260666319750893,1.1726066631975092,0.4771697455559428,0.25552813043274464,0.21553697280548662
5x5,RECT_planar,planar,43,0.9855186653139913,17.260666319750893,1.1726066631975092,0.5466321243523317,0.25552813043274464,0.23045288010558604
5x5,RECT_planar,planar,44,0.9855186653139913,17.260666319750893,1.1726066631975092,0.6468213925327951,0.25552813043274464,0.24648988044531545
5x5,RECT_planar,planar,45,0.9855186653139913,17.260666319750893,1.1726066631975092,0.4771697455559428,0.25552813043274464,0.21553697280548662
5x5,RECT_planar,planar,46,0.9855186653139913,17.260666319750893,1.1726066631975092,0.5466321243523317,0.25552813043274464,0.23045288010558604
5x5,RECT_toroid,toroid,42,0.9892887050471871,20.073420444561876,1.2007342044456186,0.4166666666666667,0.24171500632761345,0.17793795459239695
5x5,RECT_toroid,toroid,43,0.9892887050471871,20.073420444561876,1.2007342044456186,0.4166666666666667,0.24171500632761345,0.17793795459239695
5x5,RECT_toroid,toroid,44,0.9892887050471871,20.073420444561876,1.2007342044456186,0.4166666666666667,0.24171500632761345,0.17793795459239695
5x5,RECT_toroid,toroid,45,0.9892887050471871,20.073420444561876,1.2007342044456186,0.4166666666666667,0.24171500632761345,0.17793795459239695
5x5,RECT_toroid,toroid,46,0.9892887050471871,20.073420444561876,1.2007342044456186,0.4166666666666667,0.24171500632761345,0.17793795459239695
7x7,RECT_planar,planar,42,0.9973104478378693,18.02998483132582,1.180299848313258,0.9632421233121383,0.2593082894237044,0.25584418249052654
7x7,RECT_planar,planar,43,0.9973104478378693,18.02998483132582,1.180299848313258,0.9632421233121383,0.2593082894237044,0.25584418249052654
7x7,RECT_planar,planar,44,0.9973104478378693,18.02998483132582,1.180299848313258,0.9632421233121383,0.2593082894237044,0.25584418249052654
7x7,RECT_planar,planar,45,0.9973104478378693,18.02998483132582,1.180299848313258,0.9632421233121383,0.2593082894237044,0.25584418249052654
7x7,RECT_planar,planar,46,0.9973104478378693,18.02998483132582,1.180299848313258,0.9632421233121383,0.2593082894237044,0.25584418249052654
7x7,RECT_toroid,toroid,42,0.9983382799610978,20.263964694346015,1.20263964694346,0.9346628790074787,0.20095300868875732,0.19377772856363606
7x7,RECT_toroid,toroid,43,0.9983382799610978,20.263964694346015,1.20263964694346,0.8986464163789842,0.20095300868875732,0.1930402363488928
7x7,RECT_toroid,toroid,44,0.9983382799610978,20.263964694346015,1.20263964694346,0.8510467450530542,0.20095300868875732,0.1930402363488928
7x7,RECT_toroid,toroid,45,0.9983382799610978,20.263964694346015,1.20263964694346,0.8510467450530542,0.20095300868875732,0.1930402363488928
7x7,RECT_toroid,toroid,46,0.9983382799610978,20.263964694346015,1.20263964694346,0.8986464163789842,0.20095300868875732,0.1930402363488928
10x10,RECT_planar,planar,42,0.9975156129125035,18.9059789432762,1.189059789432762,0.5558735644055589,0.1705739164346284,0.20446427352726915
10x10,RECT_planar,planar,43,0.9975156129125035,18.9059789432762,1.189059789432762,0.566508621648132,0.18217476888405063,0.19364131838495308
10x10,RECT_planar,planar,44,0.9975156129125035,18.9059789432762,1.189059789432762,0.5721604778211926,0.18217476888405063,0.20309658116687734
10x10,RECT_planar,planar,45,0.9975156129125035,18.9059789432762,1.189059789432762,0.6225177886276838,0.17930454645328686,0.20309658116687734
10x10,RECT_planar,planar,46,0.9975156129125035,18.9059789432762,1.189059789432762,0.566508621648132,0.18217476888405063,0.19364131838495308
10x10,RECT_toroid,toroid,42,0.9991894704134019,20.41676397193056,1.204167639719306,0.8157319737800437,0.14435594577618968,0.14323555793266468
10x10,RECT_toroid,toroid,43,0.9991894704134019,20.41676397193056,1.204167639719306,0.7965974533921633,0.14435594577618968,0.14323555793266468
10x10,RECT_toroid,toroid,44,0.9991894704134019,20.41676397193056,1.204167639719306,0.9301820028244553,0.14102553067745102,0.14323555793266468
10x10,RECT_toroid,toroid,45,0.9991894704134019,20.41676397193056,1.204167639719306,0.8216112734291772,0.14355757215454204,0.14323555793266468
10x10,RECT_toroid,toroid,46,0.9991894704134019,20.41676397193056,1.204167639719306,0.7965974533921633,0.14435594577618968,0.14323555793266468
12x12,RECT_planar,planar,42,0.9978441776839224,19.3860644646564,1.1938606446465638,0.8864470584930192,0.14450091727635198,0.16232302972664317
12x12,RECT_planar,planar,43,0.9978441776839224,19.3860644646564,1.1938606446465638,0.8864470584930192,0.14450091727635198,0.16232302972664317
12x12,RECT_planar,planar,44,0.9978441776839224,19.3860644646564,1.1938606446465638,0.9007542362617207,0.14450091727635198,0.14492395226743088
12x12,RECT_planar,planar,45,0.9978441776839224,19.3860644646564,1.1938606446465638,0.8864470584930192,0.14450091727635198,0.16232302972664317
12x12,RECT_planar,planar,46,0.9978441776839224,19.3860644646564,1.1938606446465638,0.8864470584930192,0.14450091727635198,0.16232302972664317
12x12,RECT_toroid,toroid,42,0.9993954959162688,20.333649454549622,1.2033364945454963,0.9516842360353811,0.13664249903352277,0.14147251169442546
12x12,RECT_toroid,toroid,43,0.9993954959162688,20.333649454549622,1.2033364945454963,0.9516842360353811,0.13664249903352277,0.14147251169442546
12x12,RECT_toroid,toroid,44,0.9993954959162688,20.333649454549622,1.2033364945454963,0.9516842360353811,0.13664249903352277,0.14147251169442546
12x12,RECT_toroid,toroid,45,0.9993954959162688,20.333649454549622,1.2033364945454963,0.9354819204256863,0.13664249903352277,0.14208298017808899
12x12,RECT_toroid,toroid,46,0.9993954959162688,20.333649454549622,1.2033364945454963,0.9354819204256863,0.13664249903352277,0.14208298017808899
15x15,RECT_planar,planar,42,0.9983598258382604,19.715869648321195,1.197158696483212,0.8538029690189991,0.12713490502109084,0.14593978345508357
15x15,RECT_planar,planar,43,0.9983598258382604,19.715869648321195,1.197158696483212,0.8569308968161649,0.12713490502109084,0.14582191591468588
15x15,RECT_planar,planar,44,0.9983598258382604,19.715869648321195,1.197158696483212,0.8679653175572224,0.13830583773604785,0.13217030902956775
15x15,RECT_planar,planar,45,0.9983598258382604,19.715869648321195,1.197158696483212,0.8954166170868186,0.13830583773604785,0.1435664638287719
15x15,RECT_planar,planar,46,0.9983598258382604,19.715869648321195,1.197158696483212,0.8923565816651056,0.13830583773604785,0.14368081101128316
15x15,RECT_toroid,toroid,42,0.9993490935508681,20.21713516287168,1.202171351628717,0.8051705743258839,0.11828721638780187,0.13126700397415922
15x15,RECT_toroid,toroid,43,0.9993490935508681,20.21713516287168,1.202171351628717,0.7652579840633569,0.13317317478625412,0.13331015587658654
15x15,RECT_toroid,toroid,44,0.9993490935508681,20.21713516287168,1.202171351628717,0.7181366153666072,0.12624175412737473,0.1380118746555151
15x15,RECT_toroid,toroid,45,0.9993490935508681,20.21713516287168,1.202171351628717,0.7559010683688242,0.12608472433075565,0.13331015587658654
15x15,RECT_toroid,toroid,46,0.9993490935508681,20.21713516287168,1.202171351628717,0.7559010683688242,0.12608472433075565,0.13331015587658654
20x20,RECT_planar,planar,42,0.9985089281908566,19.82668531341801,1.19826685313418,0.8382016804853231,0.15750393778023192,0.1753149148443871
20x20,RECT_planar,planar,43,0.9985089281908566,19.82668531341801,1.19826685313418,0.8381004763356223,0.14930917435457278,0.1753149148443871
20x20,RECT_planar,planar,44,0.9985089281908566,19.82668531341801,1.19826685313418,0.8382016804853231,0.15750393778023192,0.1753149148443871
20x20,RECT_planar,planar,45,0.9985089281908566,19.82668531341801,1.19826685313418,0.8382016804853231,0.15750393778023192,0.1753149148443871
20x20,RECT_planar,planar,46,0.9985089281908566,19.82668531341801,1.19826685313418,0.9075683696021083,0.1570759827034514,0.1753149148443871
20x20,RECT_toroid,toroid,42,0.9994526995608881,20.30061505613849,1.203006150561385,0.8870866837497973,0.11176210355440044,0.11513441956634107
20x20,RECT_toroid,toroid,43,0.9994526995608881,20.30061505613849,1.203006150561385,0.8870866837497973,0.11176210355440044,0.11513441956634107
20x20,RECT_toroid,toroid,44,0.9994526995608881,20.30061505613849,1.203006150561385,0.8870866837497973,0.11176210355440044,0.11513441956634107
20x20,RECT_toroid,toroid,45,0.9994526995608881,20.30061505613849,1.203006150561385,0.8870866837497973,0.11176210355440044,0.11513441956634107
20x20,RECT_toroid,toroid,46,0.9994526995608881,20.30061505613849,1.203006150561385,0.8870866837497973,0.11176210355440044,0.11513441956634107
