dataset,model,size,variant,n_seeds,pearson_r_mean,pearson_r_std,pearson_r_ci95,rel_diff_pct_mean,rel_diff_pct_std,rel_diff_ci95,scale_ratio_mean,scale_ratio_std,scale_ci95,seg_ari_mean,seg_ari_std,seg_ari_ci95,ari_ground_a_mean,ari_ground_a_std,ari_ground_b_mean,ari_ground_b_std,wilcoxon_p_raw,wilcoxon_p_fdr,h0_rejected_fdr,pearson_r,rel_diff_pct,scale_ratio,seg_ari
digits,SOM_5x5_RECT_planar,5x5,RECT_planar,30,0.9217619855603325,0.033239101074143684,"[0.9099, 0.9338]",16.963204070202714,0.06820254842738767,"[16.94, 16.99]",1.169632040702027,0.0006820254842739459,"[1.1694, 1.1699]",0.21303292376233357,0.045397530991914986,"[0.197, 0.229]",0.330369147255398,0.05978968164107291,0.36646062052598094,0.02643682058055118,0.000878201568820731,0.005269209412924386,True,0.9217619855603325,16.963204070202714,1.169632040702027,0.21303292376233357
digits,SOM_5x5_RECT_toroid,5x5,RECT_toroid,30,0.9791835597844197,0.003530972534433094,"[0.9779, 0.9805]",20.37663250246741,0.02585678164507822,"[20.37, 20.39]",1.2037663250246742,0.0002585678164507513,"[1.2037, 1.2039]",0.32620602842498125,0.04575638923653844,"[0.309, 0.342]",0.30972875503459124,0.029711625966292402,0.3206985791527746,0.019674849694697717,0.06782768098456017,0.13565536196912034,False,0.9791835597844197,20.37663250246741,1.2037663250246742,0.32620602842498125
digits,SOM_7x7_RECT_planar,7x7,RECT_planar,30,0.9775318457696519,0.002827591807549102,"[0.9766, 0.9786]",17.900381378542512,0.05926092991700341,"[17.88, 17.92]",1.179003813785425,0.0005926092991699697,"[1.1788, 1.1792]",0.37082689013678055,0.048856393977535925,"[0.354, 0.388]",0.18266683669710113,0.019428937324310273,0.2015524287319989,0.03615879502022526,0.00019948059587281524,0.002393767150473783,True,0.9775318457696519,17.900381378542512,1.179003813785425,0.37082689013678055
digits,SOM_7x7_RECT_toroid,7x7,RECT_toroid,30,0.99675716263014,0.0009255806081347804,"[0.9964, 0.9971]",20.384948046389965,0.046689767012898946,"[20.37, 20.40]",1.2038494804638995,0.0004668976701290188,"[1.2037, 1.2040]",0.6484929416435955,0.06880864787135924,"[0.626, 0.675]",0.19582232957840678,0.025028221323616165,0.18521520445152995,0.021434056121228312,0.02985352903746275,0.0716484696899106,False,0.99675716263014,20.384948046389965,1.2038494804638995,0.6484929416435955
digits,SOM_10x10_RECT_planar,10x10,RECT_planar,30,0.9902436409530576,0.0017256917664235207,"[0.9897, 0.9909]",18.53729551773727,0.04957537457304376,"[18.52, 18.56]",1.1853729551773724,0.000495753745730442,"[1.1852, 1.1856]",0.5282284297633858,0.07130154883107476,"[0.505, 0.555]",0.1608962107012033,0.02091661617949813,0.16508418316031684,0.017946737305712068,0.4042375939246755,0.40423759392467556,False,0.9902436409530576,18.53729551773727,1.1853729551773724,0.5282284297633858
digits,SOM_10x10_RECT_toroid,10x10,RECT_toroid,30,0.9988729204417692,0.00021530586344471828,"[0.9988, 0.9989]",20.443845764112496,0.017187351119400045,"[20.44, 20.45]",1.2044384576411251,0.00017187351119406333,"[1.2044, 1.2045]",0.7768344022266334,0.10000433486501784,"[0.738, 0.812]",0.14530738444031266,0.009664352065353068,0.13806783045054075,0.012396782013714093,0.02084985189139843,0.06254955567419529,False,0.9988729204417692,20.443845764112496,1.2044384576411251,0.7768344022266334
digits,SOM_12x12_RECT_planar,12x12,RECT_planar,30,0.9937585906993485,0.00038232187748513634,"[0.9936, 0.9939]",18.76665213513582,0.05827844243458595,"[18.75, 18.79]",1.187666521351358,0.0005827844243458602,"[1.1875, 1.1879]",0.5685516821298341,0.08231534097959158,"[0.541, 0.597]",0.12488443625193901,0.0075628950322736855,0.12838049903011212,0.010443487123707103,0.15884448242231464,0.23826672363347196,False,0.9937585906993485,18.76665213513582,1.187666521351358,0.5685516821298341
digits,SOM_12x12_RECT_toroid,12x12,RECT_toroid,30,0.9993148376126335,4.929737566624553e-05,"[0.9993, 0.9993]",20.44668566541859,0.0178605558701961,"[20.44, 20.45]",1.2044668566541858,0.00017860555870196994,"[1.2044, 1.2045]",0.7402158231871526,0.12494597836463586,"[0.697, 0.786]",0.0931175381350336,0.011708547718518212,0.09116421207270801,0.010548582487119785,0.23665234446525574,0.2839828133583069,False,0.9993148376126335,20.44668566541859,1.2044668566541858,0.7402158231871526
digits,SOM_15x15_RECT_planar,15x15,RECT_planar,30,0.9961260381254397,0.00034744816867524113,"[0.9960, 0.9963]",19.0459244020881,0.03781179254239029,"[19.03, 19.06]",1.190459244020881,0.00037811792542389975,"[1.1903, 1.1906]",0.6836577460514324,0.079345488150333,"[0.657, 0.710]",0.10505759733896346,0.014970589414951139,0.10265755768782642,0.012180742133305162,0.08180161550608342,0.14023134086757158,False,0.9961260381254397,19.0459244020881,1.190459244020881,0.6836577460514324
digits,SOM_15x15_RECT_toroid,15x15,RECT_toroid,30,0.9993621312456233,9.672304119654527e-05,"[0.9993, 0.9994]",20.36832410257048,0.037922156335238454,"[20.36, 20.38]",1.203683241025705,0.00037922156335236455,"[1.2036, 1.2038]",0.7996849964637275,0.0840672627652848,"[0.770, 0.828]",0.0626673147098969,0.006783970578307414,0.061870476302407405,0.008274982477788611,0.370740607380867,0.40423759392467556,False,0.9993621312456233,20.36832410257048,1.203683241025705,0.7996849964637275
digits,SOM_20x20_RECT_planar,20x20,RECT_planar,30,0.9977794113289186,0.00012038097032220718,"[0.9977, 0.9978]",19.28330031814288,0.058926375825150985,"[19.26, 19.31]",1.1928330031814292,0.000589263758251457,"[1.1926, 1.1931]",0.7004206624053169,0.10882045728144915,"[0.664, 0.736]",0.08422188974638564,0.007511689774885665,0.08830006148336061,0.009904786483384028,0.008705463260412216,0.034821853041648865,True,0.9977794113289186,19.28330031814288,1.1928330031814292,0.7004206624053169
digits,SOM_20x20_RECT_toroid,20x20,RECT_toroid,30,0.9996789201755283,5.536180837827497e-05,"[0.9997, 0.9997]",20.444324488750546,0.02005247628711804,"[20.44, 20.45]",1.204443244887505,0.00020052476287118402,"[1.2044, 1.2045]",0.7799950735812984,0.13541843739987525,"[0.733, 0.824]",0.05273263903875009,0.006306915418845893,0.05339721337333035,0.007229393005933365,0.20587623241598085,0.2745016432213078,False,0.9996789201755283,20.444324488750546,1.204443244887505,0.7799950735812984
